name	nAnno	nOverlap	zscore	pvalue	adjp	namespace	distance	members
abnormal vestibular hair cell number	20	3	11.4	5e-07	0.00019	Mammalian_phenotype	8	Rb1,Atoh1,Sox2
abnormal rostral migratory stream morphology	32	3	8.86	3.6e-06	0.00068	Mammalian_phenotype	9	Cckar,Prok2,Olig3
abnormal vestibular hair cell morphology	42	3	7.65	1.1e-05	0.001	Mammalian_phenotype	5	Rb1,Atoh1,Sox2
decreased susceptibility to bacterial infection induced morbidity/mortality	39	3	7.96	8.1e-06	0.001	Mammalian_phenotype	7	Gucy2c,Spp1,Cxcl5
abnormal olfactory bulb development	57	3	6.45	3.7e-05	0.0016	Mammalian_phenotype	5	Cckar,Prok2,Olig3
abnormal bone remodeling	182	5	5.68	2.8e-05	0.0016	Mammalian_phenotype	3	Spp1,Ibsp,Mepe,Cd44,Ptpre
abnormal autophagy	56	3	6.52	3.5e-05	0.0016	Mammalian_phenotype	3	Bcl2,Sox2,Atg3
abnormal olfactory lobe morphology	188	5	5.56	3.4e-05	0.0016	Mammalian_phenotype	6	Sox2,Klf7,Cckar,Prok2,Olig3
abnormal exocrine gland morphology	653	9	4.76	3.9e-05	0.0016	Mammalian_phenotype	3	Bcl2,Rb1,Atoh1,Sox2,Tbx3,Cd44,Itpr2,Notch2,Klf4
abnormal cell differentiation	686	9	4.57	5.9e-05	0.002	Mammalian_phenotype	3	Rb1,Sox2,Cd44,Ptpre,Klf7,Notch2,Klf4,Cckar,Olig3
abnormal chemokine level	63	3	6.09	5.5e-05	0.002	Mammalian_phenotype	6	Spp1,Cd44,Cxcl5
abnormal inner ear vestibule morphology	84	3	5.15	0.00017	0.0021	Mammalian_phenotype	4	Rb1,Atoh1,Sox2
diluted coat color	80	3	5.3	0.00014	0.0021	Mammalian_phenotype	6	Bcl2,Sox2,Notch2
abnormal sensory neuron morphology	485	7	4.32	0.00016	0.0021	Mammalian_phenotype	4	Bcl2,Rb1,Atoh1,Sox2,Klf7,Notch2,Cckar
abnormal epidermis stratum granulosum morphology	71	3	5.69	8.8e-05	0.0021	Mammalian_phenotype	4	Rb1,Cd44,Klf4
abnormal osteoclast physiology	77	3	5.42	0.00012	0.0021	Mammalian_phenotype	4	Spp1,Mepe,Ptpre
abnormal tumor incidence	916	10	4.14	0.00013	0.0021	Mammalian_phenotype	3	Bcl2,Rb1,Sox2,Spp1,Cd44,Cat,Notch2,Klf4,Ranbp2,Perp
decreased tumor incidence	233	5	4.83	0.00011	0.0021	Mammalian_phenotype	4	Bcl2,Rb1,Spp1,Cd44,Cat
altered tumor susceptibility	930	10	4.08	0.00015	0.0021	Mammalian_phenotype	2	Bcl2,Rb1,Sox2,Spp1,Cd44,Cat,Notch2,Klf4,Ranbp2,Perp
abnormal melanocyte morphology	74	3	5.55	1e-04	0.0021	Mammalian_phenotype	2	Bcl2,Rb1,Notch2
abnormal cochlear hair cell number	68	3	5.83	7.4e-05	0.0021	Mammalian_phenotype	9	Rb1,Atoh1,Sox2
abnormal small intestine crypts of Lieberkuhn morphology	72	3	5.64	9.3e-05	0.0021	Mammalian_phenotype	5	Bcl2,Atoh1,Klf4
abnormal neuronal precursor cell number	68	3	5.83	7.4e-05	0.0021	Mammalian_phenotype	5	Rb1,Notch2,Cckar
abnormal olfactory system morphology	76	3	5.47	0.00012	0.0021	Mammalian_phenotype	2	Sox2,Notch2,Cckar
abnormal lens development	84	3	5.15	0.00017	0.0021	Mammalian_phenotype	4	Rb1,Sox2,Klf4
decreased apoptosis	244	5	4.68	0.00014	0.0021	Mammalian_phenotype	5	Bcl2,Rb1,Spp1,Cd44,Perp
abnormal T cell apoptosis	143	4	5.13	0.00011	0.0021	Mammalian_phenotype	5	Bcl2,Cd44,Atg3,Perp
decreased susceptibility to infection induced morbidity/mortality	74	3	5.55	1e-04	0.0021	Mammalian_phenotype	6	Gucy2c,Spp1,Cxcl5
abnormal neuron differentiation	358	6	4.46	0.00016	0.0021	Mammalian_phenotype	4	Rb1,Sox2,Klf7,Notch2,Cckar,Olig3
decreased cell death	245	5	4.67	0.00015	0.0021	Mammalian_phenotype	4	Bcl2,Rb1,Spp1,Cd44,Perp
abnormal cell migration	496	7	4.24	0.00019	0.0022	Mammalian_phenotype	3	Atoh1,Spp1,Cd44,Klf4,Cckar,Olig3,Mpp1
abnormal neuron physiology	633	8	4.16	0.00018	0.0022	Mammalian_phenotype	3	Rb1,Atoh1,Sox2,Spp1,Notch2,Cckar,Olig3,Perp
abnormal trabecular bone morphology	275	5	4.31	0.00027	0.0023	Mammalian_phenotype	4	Spp1,Ibsp,Mepe,Cd44,Ptpre
altered response to myocardial infarction	90	3	4.94	0.00022	0.0023	Mammalian_phenotype	3	Spp1,Cd44,Tnni3k
abnormal olfactory bulb morphology	168	4	4.62	0.00023	0.0023	Mammalian_phenotype	7	Klf7,Cckar,Prok2,Olig3
abnormal oxygen level	272	5	4.34	0.00026	0.0023	Mammalian_phenotype	4	Rb1,Atoh1,Klf7,Notch2,Olig3
abnormal ectoderm development	93	3	4.84	0.00025	0.0023	Mammalian_phenotype	6	Sox2,Tbx3,Serpinb5
pericardial edema	94	3	4.81	0.00026	0.0023	Mammalian_phenotype	5	Rb1,Tbx3,Notch2
increased tumor incidence	816	9	3.95	0.00025	0.0023	Mammalian_phenotype	4	Bcl2,Rb1,Sox2,Cd44,Cat,Notch2,Klf4,Ranbp2,Perp
