Symbol	S9	S10	S11	S12	S13	S14
ADM	1.39255694044445	0.963306054111111	0.246232826777778	-0.244809492888889	-0.922393046555556	-1.43489328188889
ALB	-0.930478402611111	-1.17698716744444	-1.12015042827778	-0.923951837944444	1.41995628272222	2.73161155355556
SST	-0.733471417444444	-0.723490207444445	-0.731912199444444	-0.209224476444444	0.606168196888891	1.79193010388889
TDGF1	2.28720082894445	-0.547325951055555	-0.496071049722222	-0.382445085388889	-0.370091482055555	-0.491267260722221
POU5F1	1.95785286761111	-0.10361158472222	-0.388769282388887	-0.423623843722222	-0.445490128388889	-0.596358028388889
RGS4	1.32874565707408	1.07961451918519	0.165688075962964	-0.650331758814813	-0.963662512814814	-0.960053980592592
NR2F1	-2.47839031941667	-0.485325244416666	0.179798242416668	0.681631034416668	0.961889453583335	1.14039683341667
CYP26A1	1.92534386238889	0.87416579238889	0.123088201055557	-0.86293098061111	-1.07881886127778	-0.980848013944444
PAH	-0.510397658055556	-0.665295530388889	-0.698435411388889	-0.528102957388889	0.748935078277778	1.65329647894445
CDX4	0.978335227444444	1.31532740344445	0.284242643111113	-0.710614282222222	-0.810171583555555	-1.05711940822222
NTS	2.42345657583333	0.220597905833334	-0.8854047985	-0.737270629833333	-0.495712684499999	-0.525666368833333
FABP1	-1.05162152205555	-1.31300478572222	-1.41071907038889	-1.18328464672222	1.61532974827778	3.34330027661111
SPINK1	-0.617613928833332	-1.26537840116667	-1.4196988975	-0.670583222166666	1.4520216975	2.52125275216667
ELAVL4	-1.16986512166667	-0.686482625333333	-0.589498173666666	0.0424004740000012	0.986953432666668	1.416492014
HAPLN1	1.3851410795	1.121932283	0.548429219166668	-0.290066613333333	-1.15137681516667	-1.61405915316667
FIGF	-1.35315813461111	-0.943109781611111	-0.915927229944445	0.480671038722223	1.36052596105556	1.37099814638889
KRT19	2.01882516216667	1.58897013216667	0.772750524833334	-0.349085478833333	-1.8079517515	-2.22350858883333
FGG	1.21234734555556	-1.12374012511111	-0.725250589444445	-1.16102079844444	0.35740280688889	1.44026136055556
SERPINA1	-0.328722690194445	-1.80692570319444	-1.28573580786111	-0.65252784336111	1.64814317480556	2.42576886980556
FGB	1.28061491086111	-0.473885471805557	-0.681798007638888	-1.30274848697222	0.080252637527777	1.09756441802778
SALL1	1.18833476544445	1.17810553277778	0.698610396111112	-0.536488912555555	-1.07157819088889	-1.45698359088889
GATA6	1.167493867	0.786172365666668	0.439592943000001	-0.247328410666668	-0.905979193333334	-1.23995157166667
CGA	2.29319934138889	0.483721147055557	0.564777321722223	-0.559993744944445	-1.30185319094444	-1.47985087427778
HAND1	1.52062393111111	0.989358129444447	0.570082913777779	-0.494844872222221	-1.09583790755555	-1.48938219455555
KRT8	0.897088836166667	1.1863173395	0.596659888166668	-0.159199967833332	-1.12978832516667	-1.39107777083333
A2M	-0.615659915555556	-1.14302409988889	-0.495128118222222	-0.132513940222221	0.770995114111112	1.61533095977778
KRT18	1.21272729494445	1.08860262494444	0.607139871611113	-0.116078058388889	-1.24663467072222	-1.54575706238889
APOH	-0.804394042499998	-1.03778759783333	-1.00013838483333	-0.578918320166665	0.973895010833334	2.4473433345
APOC3	1.77185277655556	-0.926099759111112	-0.521045750777777	-0.888687337444444	-0.448012226444444	1.01199229722222
SERPINA6	-0.867541362055555	-1.01436042072222	-0.820448634388889	-0.675214376388888	1.18218828294445	2.19537651061111
F2RL1	1.76868512125	0.662129871250001	-0.0628726449166662	-0.616881259583333	-0.79002669425	-0.96103439375
RBP4	1.32094715738889	-0.560883530944444	-0.894621671611111	-1.87010903027778	0.435105273055556	1.56956180238889
LGALS3	1.61044266583333	0.637901481500002	0.500458315500001	-0.5744732475	-1.04492268016667	-1.12940653516667
HOXA5	-1.93920345733333	-0.189946567999999	0.236784452333334	0.355691385000001	0.674254736000001	0.862419452
TTR	1.43196376044445	-0.144737441555555	-0.287675577222221	-1.77232717222222	-0.260748212888887	1.03352464344444
ITIH2	-1.36932641472222	-0.923722477722222	-1.45003097105556	-0.218157831055555	1.61189711727778	2.34934057727778
AFP	0.732835246111113	-1.36970554688889	-1.21415326822222	-0.811594453222221	1.04099573277778	1.62162228944445
HOXA1	1.57927354122222	1.21666573422222	0.653400757222223	-0.383560626111111	-1.40299786144444	-1.66278154511111
FOS	0.956297927888889	1.41047054655556	0.454675881555556	-0.224786195111111	-1.19189457877778	-1.40476358211111
APOA2	0.225712806027779	-1.62953107580556	-1.88231645330556	-0.97306842463889	1.63079768719445	2.62840546052778
APOB	-0.0345914176666664	-1.60861096466667	-1.395355541	-0.926702869666666	1.618597087	2.346663706
DCX	-1.67952333519444	-1.44057654869444	-1.10906479502778	-0.0398385976944446	1.57216992147222	2.69683335513889
ZIC3	1.834830737	-0.156560921999999	-0.806257746333332	-0.894719739666667	-0.287903093999999	0.310610765000001
APOA1	1.510988781	-0.327951465499998	-0.732891578166666	-1.84965594533333	-0.122602153	1.522112361
AMBP	-0.806429743111113	-0.952653398444444	-1.09991094877778	-0.60844838511111	0.962141116555557	2.50530135888889
TF	0.943058632666667	-1.12954191816667	-0.8075834375	-1.29091853066667	0.404515963833334	1.88046928983334
AHSG	0.56292620738889	-1.99143971994444	-1.43231196161111	-1.25336661594444	1.26133816172222	2.85285392838889
ZIC1	-3.37837859766667	-1.328842526	-0.409358979666666	1.15440037166667	1.83685475333333	2.12532497833334
AGT	0.284445026166666	-0.755139402499999	-0.868839082833333	-1.01574445116667	0.608413854833334	1.7468640555
